Legislation Number,URL,Congress,Title,Sponsor,Party of Sponsor,Type1,Type2,Progress,Date of Introduction,Committees,Latest Action,Latest Action Date,Number of Cosponsors,Number of Related Bills,Amends Bill,Date Offered,Date Submitted,Date Proposed
H.R. 6307,https://www.congress.gov/bill/118th-congress/house-bill/6307,118th Congress (2023-2024),CLARITY Act of 2023,"Nunn, Zachary [Rep.-R-IA-3] (Introduced 11/08/2023)",Republican,regulation,directly related to Blockchain,introduced,11/08/2023,"House - Foreign Affairs, Financial Services, Intelligence (Permanent Select), Oversight and Accountability","Referred to the Committee on Foreign Affairs, and in addition to the Committees on Financial Services, Intelligence (Permanent Select), and Oversight and Accountability, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",11/08/2023,7,0,,,,
H.R. 370,https://www.congress.gov/bill/118th-congress/house-bill/370,118th Congress (2023-2024),FinCEN Modernization Act of 2023,"Donalds, Byron [Rep.-R-FL-19] (Introduced 01/17/2023)",Republican,regulation,directly related to Cybersecurity,introduced,01/17/2023,House - Financial Services,Referred to the House Committee on Financial Services.,01/17/2023,0,0,,,,
H.R. 1122,https://www.congress.gov/bill/118th-congress/house-bill/1122,118th Congress (2023-2024),CBDC Anti-Surveillance State Act,"Emmer, Tom [Rep.-R-MN-6] (Introduced 02/21/2023)",Republican,regulation,directly related to Blockchain,introduced,02/21/2023,House - Financial Services,Referred to the House Committee on Financial Services.,02/21/2023,46,1,,,,
H.R. 7067,https://www.congress.gov/bill/117th-congress/house-bill/7067,117th Congress (2021-2022),Closing Loopholes in Russia Sanctions Act of 2022,"Sherman, Brad [Rep.-D-CA-30] (Introduced 03/11/2022)",Democratic,regulation,directly related to cyptocurrencies,introduced,03/11/2022,"House - Foreign Affairs, Financial Services","Referred to the Committee on Foreign Affairs, and in addition to the Committee on Financial Services, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",03/11/2022,0,0,,,,
S. 5267,https://www.congress.gov/bill/117th-congress/senate-bill/5267,117th Congress (2021-2022),Digital Asset Anti-Money Laundering Act of 2022,"Warren, Elizabeth [Sen.-D-MA] (Introduced 12/15/2022)",Democratic,regulation,directly related to anti moneywashing,introduced,12/15/2022,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",12/15/2022,1,0,,,,
H.R. 9216,https://www.congress.gov/bill/117th-congress/house-bill/9216,117th Congress (2021-2022),PORTFOLIO Act,"Schweikert, David [Rep.-R-AZ-6] (Introduced 10/21/2022)",Republican,regulation,directly related to Blockchain,introduced,10/21/2022,"House - Oversight and Reform, House Administration, Judiciary, Ways and Means","Referred to the Committee on Oversight and Reform, and in addition to the Committees on House Administration, the Judiciary, and Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",10/21/2022,0,1,,,,
H.R. 8990,https://www.congress.gov/bill/117th-congress/house-bill/8990,117th Congress (2021-2022),Combatting Financial Conflicts of Interest in Government Act,"Lofgren, Zoe [Rep.-D-CA-19] (Introduced 09/28/2022)",Democratic,regulation,directly related to cyptocurrencies,introduced,09/28/2022,"House - Oversight and Reform, House Administration, Judiciary, Ways and Means","Referred to the Committee on Oversight and Reform, and in addition to the Committees on House Administration, the Judiciary, and Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",09/28/2022,0,1,,,,
S. 5210,https://www.congress.gov/bill/117th-congress/senate-bill/5210,117th Congress (2021-2022),Crypto-Asset Environmental Transparency Act of 2022,"Markey, Edward J. [Sen.-D-MA] (Introduced 12/07/2022)",Democratic,regulation,directly related to cyptocurrencies,introduced,12/07/2022,Senate - Environment and Public Works,Read twice and referred to the Committee on Environment and Public Works.,12/07/2022,1,1,,,,
H.R. 9457,https://www.congress.gov/bill/117th-congress/house-bill/9457,117th Congress (2021-2022),Crypto-Asset Environmental Transparency Act of 2022,"Huffman, Jared [Rep.-D-CA-2] (Introduced 12/07/2022)",Democratic,regulation,directly related to cyptocurrencies,introduced,12/07/2022,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,12/07/2022,1,1,,,,
S. 4985,https://www.congress.gov/bill/117th-congress/senate-bill/4985,117th Congress (2021-2022),Cryptocurrency Cybersecurity Information Sharing Act,"Blackburn, Marsha [Sen.-R-TN] (Introduced 09/28/2022)",Republican,regulation,directly related to cyptocurrencies,introduced,09/28/2022,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",09/28/2022,1,0,,,,
S. 3867,https://www.congress.gov/bill/117th-congress/senate-bill/3867,117th Congress (2021-2022),Digital Asset Sanctions Compliance Enhancement Act of 2022,"Warren, Elizabeth [Sen.-D-MA] (Introduced 03/17/2022)",Democratic,regulation,directly related to cyptocurrencies,introduced,03/17/2022,"Senate - Banking, Housing, and Urban Affairs","Committee on Banking, Housing, and Urban Affairs. Hearings held.",09/20/2022,12,1,,,,
H.R. 7429,https://www.congress.gov/bill/117th-congress/house-bill/7429,117th Congress (2021-2022),Russian Digital Asset Sanctions Compliance Act of 2022,"Sherman, Brad [Rep.-D-CA-30] (Introduced 04/06/2022)",Democratic,regulation,directly related to cyptocurrencies,introduced,04/06/2022,"House - Financial Services, Foreign Affairs","Referred to the Committee on Financial Services, and in addition to the Committee on Foreign Affairs, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",04/06/2022,15,1,,,,
H.R. 3723,https://www.congress.gov/bill/117th-congress/house-bill/3723,117th Congress (2021-2022),Consumer Safety Technology Act,"McNerney, Jerry [Rep.-D-CA-9] (Introduced 06/04/2021)",Democratic,potential regulation,directly related to Blockchain,Passed House,06/04/2021,"House - Energy and Commerce | Senate - Commerce, Science, and Transportation","Received in the Senate and Read twice and referred to the Committee on Commerce, Science, and Transportation.",06/24/2021,5,3,,,,
H.R. 4346,https://www.congress.gov/bill/117th-congress/house-bill/4346,117th Congress (2021-2022),CHIPS and Science Act,"Ryan, Tim [Rep.-D-OH-13] (Introduced 07/01/2021)",Democratic,potential support,directly related to cyptocurrencies,became law,07/01/2021,House - Appropriations | Senate - Appropriations,Became Public Law No: 117-167.,08/09/2022,0,8,,,,
H.R. 7862,https://www.congress.gov/bill/117th-congress/house-bill/7862,117th Congress (2021-2022),Cryptocurrency Accountability Act,"Slotkin, Elissa [Rep.-D-MI-8] (Introduced 05/20/2022)",Democratic,potential regulation,directly related to cyptocurrencies,introduced,05/20/2022,House - House Administration,Referred to the House Committee on House Administration.,05/20/2022,1,0,,,,
S. 2943,https://www.congress.gov/bill/117th-congress/senate-bill/2943,117th Congress (2021-2022),Ransom Disclosure Act,"Warren, Elizabeth [Sen.-D-MA] (Introduced 10/06/2021)",Democratic,regulation,directly related to Cybersecurity,introduced,10/06/2021,Senate - Homeland Security and Governmental Affairs,Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,10/06/2021,0,2,,,,
S. 2926,https://www.congress.gov/bill/117th-congress/senate-bill/2926,117th Congress (2021-2022),"A bill to require certain entities to disclose to the Secretary of Homeland Security ransom payments, and for other purposes.","Warren, Elizabeth [Sen.-D-MA] (Introduced 10/04/2021)",Democratic,potential regulation,directly related to Cybersecurity,introduced,10/04/2021,Senate - Homeland Security and Governmental Affairs,Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,10/04/2021,0,2,,,,
H.R. 5501,https://www.congress.gov/bill/117th-congress/house-bill/5501,117th Congress (2021-2022),Ransom Disclosure Act,"Ross, Deborah K. [Rep.-D-NC-2] (Introduced 10/05/2021)",Democratic,potential regulation,directly related to cyptocurrencies,introduced,10/05/2021,House - Energy and Commerce,Referred to the Subcommittee on Consumer Protection and Commerce.,10/06/2021,0,2,,,,
S. 2666,https://www.congress.gov/bill/117th-congress/senate-bill/2666,117th Congress (2021-2022),Sanction and Stop Ransomware Act of 2021,"Rubio, Marco [Sen.-R-FL] (Introduced 08/05/2021)",Republican,potential regulation,directly related to cyptocurrencies,introduced,08/05/2021,Senate - Homeland Security and Governmental Affairs,Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,08/05/2021,2,0,,,,
H.R. 8545,https://www.congress.gov/bill/117th-congress/house-bill/8545,117th Congress (2021-2022),"To establish a blockchain and cryptocurrency position within the Office of Science and Technology Policy, and for other purposes.","Soto, Darren [Rep.-D-FL-9] (Introduced 07/27/2022)",Democratic,potential support,directly related to Blockchain,introduced,07/27/2022,"House - Science, Space, and Technology","Referred to the House Committee on Science, Space, and Technology.",07/27/2022,1,1,,,,
S. 3666,https://www.congress.gov/bill/117th-congress/senate-bill/3666,117th Congress (2021-2022),ACES Act,"Risch, James E. [Sen.-R-ID] (Introduced 02/16/2022)",Republican,potential regulation,directly related to Cybersecurity,introduced,02/16/2022,Senate - Foreign Relations,Placed on Senate Legislative Calendar under General Orders. Calendar No. 321.,04/04/2022,2,1,,,,
H.R. 7338 ,https://www.congress.gov/bill/117th-congress/house-bill/7338,117th Congress (2021-2022),"To require congressional notification prior to payments of Department of State rewards using cryptocurrencies, and for other purposes.","Meeks, Gregory W. [Rep.-D-NY-5] (Introduced 03/31/2022)",Democratic,potential regulation,directly related to cyptocurrencies,Passed House,03/31/2022,"House - Foreign Affairs, Financial Services | Senate - Foreign Relations",Received in the Senate and Read twice and referred to the Committee on Foreign Relations.,09/21/2022,1,1,,,,
H.R. 6597,https://www.congress.gov/bill/117th-congress/house-bill/6597,117th Congress (2021-2022),Blockchain Solutions for Small Businesses Act,"Salazar, Maria Elvira [Rep.-R-FL-27] (Introduced 02/03/2022)",Republican,potential support,directly related to Blockchain,introduced,02/03/2022,House - Small Business,Referred to the House Committee on Small Business.,02/03/2022,21,0,,,,
H.R. 3639,https://www.congress.gov/bill/117th-congress/house-bill/3639,117th Congress (2021-2022),Blockchain Innovation Act,"Soto, Darren [Rep.-D-FL-9] (Introduced 05/28/2021)",Democratic,potential support,directly related to Blockchain,introduced,05/28/2021,House - Energy and Commerce,Referred to the Subcommittee on Consumer Protection and Commerce.,05/31/2021,1,1,,,,
H.R. 7391,https://www.congress.gov/bill/117th-congress/house-bill/7391,117th Congress (2021-2022),ACES Act,"Torres, Norma J. [Rep.-D-CA-35] (Introduced 04/04/2022)",Democratic,potential regulation,related to cybersecurity,introduced,04/04/2022,"House - Financial Services, Foreign Affairs","Referred to the Committee on Financial Services, and in addition to the Committee on Foreign Affairs, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",04/04/2022,2,1,,,,
S.Con.Res. 18,https://www.congress.gov/bill/117th-congress/senate-concurrent-resolution/18,117th Congress (2021-2022),ACCEPT Resolution,"Cruz, Ted [Sen.-R-TX] (Introduced 11/01/2021)",Republican,support,directly related to Cybersecurity,introduced,11/01/2021,Senate - Rules and Administration,Referred to the Committee on Rules and Administration. (text: CR S7540-7541),11/01/2021,0,0,,,,
H.R. 5045,https://www.congress.gov/bill/117th-congress/house-bill/5045,117th Congress (2021-2022),Blockchain Regulatory Certainty Act,"Emmer, Tom [Rep.-R-MN-6] (Introduced 08/17/2021)",Republican,potential regulation,directly related to Blockchain,introduced,08/17/2021,House - Financial Services,Referred to the House Committee on Financial Services.,08/17/2021,1,0,,,,
S. 1869,https://www.congress.gov/bill/117th-congress/senate-bill/1869,117th Congress (2021-2022),Blockchain Promotion Act of 2021,"Young, Todd [Sen.-R-IN] (Introduced 05/27/2021)",Republican,potential support,directly related to Blockchain,introduced,05/27/2021,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",05/27/2021,1,1,,,,
H.R. 3612,https://www.congress.gov/bill/117th-congress/house-bill/3612,117th Congress (2021-2022),Blockchain Promotion Act of 2021,"Matsui, Doris O. [Rep.-D-CA-6] (Introduced 05/28/2021)",Democratic,potential support,directly related to Blockchain,introduced,05/28/2021,"House - Energy and Commerce, Oversight and Reform",Referred to the Subcommittee on Consumer Protection and Commerce.,05/31/2021,1,1,,,,
H.R. 3543,https://www.congress.gov/bill/117th-congress/house-bill/3543,117th Congress (2021-2022),Blockchain Technology Coordination Act of 2021,"Soto, Darren [Rep.-D-FL-9] (Introduced 05/25/2021)",Democratic,potential support,directly related to Blockchain,introduced,05/25/2021,House - Energy and Commerce,Referred to the Subcommittee on Consumer Protection and Commerce.,05/26/2021,0,0,,,,
H.R. 5082,https://www.congress.gov/bill/117th-congress/house-bill/5082,117th Congress (2021-2022),Cryptocurrency Tax Clarity Act,"Soto, Darren [Rep.-D-FL-9] (Introduced 08/23/2021)",Democratic,regulation,directly related to cyptocurrencies,introduced,08/23/2021,House - Ways and Means,Referred to the House Committee on Ways and Means.,08/23/2021,0,1,,,,
H.R. 5083,https://www.congress.gov/bill/117th-congress/house-bill/5083,117th Congress (2021-2022),Cryptocurrency Tax Reform Act,"Soto, Darren [Rep.-D-FL-9] (Introduced 08/23/2021)",Democratic,regulation,directly related to cyptocurrencies,introduced,08/23/2021,House - Ways and Means,Referred to the House Committee on Ways and Means.,08/23/2021,2,1,,,,
H.R. 9422,https://www.congress.gov/bill/117th-congress/house-bill/9422,117th Congress (2021-2022),Crypto Consumer Investor Protection Act,"Torres, Ritchie [Rep.-D-NY-15] (Introduced 12/02/2022)",Democratic,regulation,directly related to cyptocurrencies,introduced,12/02/2022,House - Financial Services,Referred to the House Committee on Financial Services.,12/02/2022,0,0,,,,
H.R. 9421,https://www.congress.gov/bill/117th-congress/house-bill/9421,117th Congress (2021-2022),Crypto Exchange Disclosure Act,"Torres, Ritchie [Rep.-D-NY-15] (Introduced 12/02/2022)",Democratic,regulation,directly related to cyptocurrencies,introduced,12/02/2022,House - Financial Services,Referred to the House Committee on Financial Services.,12/02/2022,0,0,,,,
S. 4109,https://www.congress.gov/bill/117th-congress/senate-bill/4109,117th Congress (2021-2022),National R & D Strategy for Distributed Ledger Technology Act of 2022,"Wicker, Roger F. [Sen.-R-MS] (Introduced 04/28/2022)",Republican,support,directly related to cyptocurrencies,introduced,04/28/2022,"Senate - Commerce, Science, and Transportation",Placed on Senate Legislative Calendar under General Orders. Calendar No. 630.,12/12/2022,5,1,,,,
H.R. 8065,https://www.congress.gov/bill/117th-congress/house-bill/8065,117th Congress (2021-2022),National R & D Strategy for Distributed Ledger Technology Act of 2022,"Waltz, Michael [Rep.-R-FL-6] (Introduced 06/14/2022)",Republican,support,directly related to cyptocurrencies,introduced,06/14/2022,"House - Science, Space, and Technology","Referred to the House Committee on Science, Space, and Technology.",06/14/2022,5,1,,,,
S. 3784,https://www.congress.gov/bill/117th-congress/senate-bill/3784,117th Congress (2021-2022),Say No to the Silk Road Act,"Blackburn, Marsha [Sen.-R-TN] (Introduced 03/08/2022)",Republican,regulation,directly related to cyptocurrencies,introduced,03/08/2022,Senate - Foreign Relations,Read twice and referred to the Committee on Foreign Relations.,03/08/2022,8,0,,,,
H.R. 2211,https://www.congress.gov/bill/117th-congress/house-bill/2211,117th Congress (2021-2022),Central Bank Digital Currency Study Act of 2021,"Foster, Bill [Rep.-D-IL-11] (Introduced 03/26/2021)",Democratic,potential support,directly related to cyptocurrencies,introduced,03/26/2021,House - Financial Services,Referred to the House Committee on Financial Services.,03/26/2021,1,0,,,,
H.R. 5037,https://www.congress.gov/bill/117th-congress/house-bill/5037,117th Congress (2021-2022),Safe and Certain Elections Act,"Van Duyne, Beth [Rep.-R-TX-24] (Introduced 08/13/2021)",Republican,potential regulation,directly related to Cybersecurity,introduced,08/13/2021,House - House Administration,Referred to the House Committee on House Administration.,08/13/2021,0,1,,,,
H.R. 9301,https://www.congress.gov/bill/117th-congress/house-bill/9301,117th Congress (2021-2022),FinCEN Modernization Act of 2022,"Donalds, Byron [Rep.-R-FL-19] (Introduced 11/15/2022)",Republican,potential regulation,directly related to Blockchain,introduced,11/15/2022,House - Financial Services,Referred to the House Committee on Financial Services.,11/15/2022,0,0,,,,
H.R. 154,https://www.congress.gov/bill/117th-congress/house-bill/154,117th Congress (2021-2022),RESCUE Act for Black and Community Banks,"Rush, Bobby L. [Rep.-D-IL-1] (Introduced 01/04/2021)",Democratic,potential support,directly related to cyptocurrencies,introduced,01/04/2021,"House - Financial Services, Ways and Means","Referred to the Committee on Financial Services, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",01/04/2021,7,0,,,,
H.R. 7969,https://www.congress.gov/bill/117th-congress/house-bill/7969,117th Congress (2021-2022),"To direct the Comptroller General of the United States to conduct a study on disaster spending and strategies for reducing the need for such spending, to amend the Robert T. Stafford Disaster Relief and Emergency Assistance Act to provide assistance for certain activities relating to disasters and hazard mitigation, and for other purposes.","Payne, Donald M., Jr. [Rep.-D-NJ-10] (Introduced 06/07/2022)",Democratic,neither,unrelated,introduced,06/07/2022,House - Transportation and Infrastructure,"Referred to the Subcommittee on Economic Development, Public Buildings, and Emergency Management.",06/08/2022,9,0,,,,
H.R. 6154,https://www.congress.gov/bill/116th-congress/house-bill/6154,116th Congress (2019-2020),Crypto-Currency Act of 2020,"Gosar, Paul A. [Rep.-R-AZ-4] (Introduced 03/09/2020)",Republican,regulation,directly related to cyptocurrencies,introduced,03/09/2020,"House - Financial Services, Agriculture","Referred to the Committee on Financial Services, and in addition to the Committee on Agriculture, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",03/09/2020,0,0,,,,
