Legislation Number,URL,Congress,Title,Sponsor,Party of Sponsor,Type1,Type2,Progress,Date of Introduction,Committees,Latest Action,Latest Action Date,Number of Cosponsors,Number of Related Bills,Amends Bill,Date Offered,Date Submitted,Date Proposed
H.R. 8989,https://www.congress.gov/bill/116th-congress/house-bill/8989,116th Congress (2019-2020),"To require the Securities and Exchange Commission to conduct a study on the feasibility, benefits, and costs of using a distributed ledger system in the post-trade clearing and settlement process, and for other purposes.","Lynch, Stephen F. [Rep.-D-MA-8] (Introduced 12/16/2020)",Democratic,potential regulation,unrelated,introduced,12/16/2020,House - Financial Services,Referred to the House Committee on Financial Services.,12/16/2020,1,0,,,,
S. 1567,https://www.congress.gov/bill/116th-congress/senate-bill/1567,116th Congress (2019-2020),FORWARD Act of 2019,"McSally, Martha [Sen.-R-AZ] (Introduced 05/21/2019)",Republican,neither,unrelated,introduced,05/21/2019,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",05/21/2019,1,1,,,,
H.R. 2858,https://www.congress.gov/bill/116th-congress/house-bill/2858,116th Congress (2019-2020),FORWARD Act of 2019,"McCarthy, Kevin [Rep.-R-CA-23] (Introduced 05/21/2019)",Republican,neither,unrelated,introduced,05/21/2019,House - Energy and Commerce,Referred to the Subcommittee on Health.,05/22/2019,12,1,,,,
H.R. 6607,https://www.congress.gov/bill/116th-congress/house-bill/6607,116th Congress (2019-2020),Strategic National Stockpile Enhancement and Transparency Act,"Lynch, Stephen F. [Rep.-D-MA-8] (Introduced 04/23/2020)",Democratic,neither,unrelated,introduced,04/23/2020,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,04/23/2020,4,0,,,,
H.R. 41,https://www.congress.gov/bill/116th-congress/house-bill/41,116th Congress (2019-2020),RESCUE Act for Black and Community Banks,"Rush, Bobby L. [Rep.-D-IL-1] (Introduced 01/03/2019)",Democratic,neither,unrelated,introduced,01/03/2019,"House - Financial Services, Ways and Means","Referred to the Committee on Financial Services, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",01/03/2019,23,0,,,,
H.R. 2810,https://www.congress.gov/bill/115th-congress/house-bill/2810,115th Congress (2017-2018),"An act to authorize appropriations for fiscal year 2018 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes","Thornberry, Mac [Rep.-R-TX-13] (Introduced 06/07/2017)",Republican,potential support,directly related to Cybersecurity,became law,06/07/2017,House - Armed Services,Became Public Law No: 115-91.,12/12/2017,1,73,,,,
H.Res. 1108,https://www.congress.gov/bill/115th-congress/house-resolution/1108,115th Congress (2017-2018),Expressing the sense of the House of Representatives that blockchain has incredible potential that must be nurtured through support for research and development and a thoughtful and innovation-friendly regulatory approach.,"Schweikert, David [Rep.-R-AZ-6] (Introduced 09/28/2018)",Republican,potential support,directly related to Blockchain,introduced,09/28/2018,"House - Energy and Commerce, Science, Space, and Technology","Referred to the Committee on Energy and Commerce, and in addition to the Committee on Science, Space, and Technology, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",09/28/2018,2,0,,,,
H.R. 6974,https://www.congress.gov/bill/115th-congress/house-bill/6974,115th Congress (2017-2018),Blockchain Regulatory Certainty Act,"Emmer, Tom [Rep.-R-MN-6] (Introduced 09/28/2018)",Republican,potential regulation,directly related to Blockchain,introduced,09/28/2018,"House - Financial Services, Judiciary","Referred to the Committee on Financial Services, and in addition to the Committee on the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",09/28/2018,0,0,,,,
H.R. 6913,https://www.congress.gov/bill/115th-congress/house-bill/6913,115th Congress (2017-2018),Blockchain Promotion Act of 2018,"Guthrie, Brett [Rep.-R-KY-2] (Introduced 09/26/2018)",Republican,potential support,directly related to Blockchain,introduced,09/26/2018,"House - Energy and Commerce, Oversight and Government Reform","Referred to the Committee on Energy and Commerce, and in addition to the Committee on Oversight and Government Reform, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",09/26/2018,1,0,,,,
H.R. 7002,https://www.congress.gov/bill/115th-congress/house-bill/7002,115th Congress (2017-2018),Blockchain Records and Transactions Act of 2018,"Schweikert, David [Rep.-R-AZ-6] (Introduced 09/28/2018)",Republican,potential regulation,directly related to Blockchain,introduced,09/28/2018,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,09/28/2018,0,0,,,,
H.Res. 1102,https://www.congress.gov/bill/115th-congress/house-resolution/1102,115th Congress (2017-2018),Expressing support for digital currencies and blockchain technology.,"Emmer, Tom [Rep.-R-MN-6] (Introduced 09/28/2018)",Republican,potential support,directly related to Blockchain,introduced,09/28/2018,"House - Energy and Commerce, Financial Services","Referred to the Committee on Energy and Commerce, and in addition to the Committee on Financial Services, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",09/28/2018,4,0,,,,
S.Amdt. 1055,https://www.congress.gov/amendment/115th-congress/senate-amendment/1055,115th Congress (2017-2018),To require a report on cyber applications of blockchain technology.,"Portman, Rob [Sen.-R-OH] (Submitted 09/13/2017, Proposed 09/18/2017)",Republican,potential support,directly related to Blockchain,amended,,,Amendment SA 1055 agreed to in Senate by Unanimous Consent. ,09/18/2017,0,,H.R. 2810,,09/13/2017,09/18/2017
H.R. 6721,https://www.congress.gov/bill/115th-congress/house-bill/6721,115th Congress (2017-2018),FinCEN Modernization Act of 2018,"Budd, Ted [Rep.-R-NC-13] (Introduced 09/06/2018)",Republican,regulation,directly related to cyptocurrencies,introduced,09/06/2018,House - Financial Services,Referred to the House Committee on Financial Services.,09/06/2018,1,0,,,,
H.R. 5892,https://www.congress.gov/bill/113th-congress/house-bill/5892,113th Congress (2013-2014),Online Market Protection Act of 2014,"Stockman, Steve [Rep.-R-TX-36] (Introduced 01/02/2015)",Republican,potential support,directly related to Blockchain,introduced,01/02/2015,"House - Financial Services, Ways and Means, Agriculture","Referred to the Committee on Financial Services, and in addition to the Committees on Ways and Means, and Agriculture, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",01/02/2015,0,0,,,,
H.R. 5777,https://www.congress.gov/bill/113th-congress/house-bill/5777,113th Congress (2013-2014),CryptPMA,"Stockman, Steve [Rep.-R-TX-36] (Introduced 12/01/2014)",Republican,potential support,directly related to cyptocurrencies,introduced,12/01/2014,"House - Financial Services, Ways and Means","Referred to the Committee on Financial Services, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",12/01/2014,0,0,,,,
