Date,Bitcoin_Close,SP500_Close,BTC_returns,SP500_returns,BTC_residuals,Volume,Normalized_Volume
2014-11-05,339.4859924316406,2023.5699462890625,0.02685022019464371,0.005684311060804709,0.020970748462298003,19817200,5.6464416426438065e-05
2014-11-06,349.2900085449219,2031.2099609375,0.028469860439230645,0.003768403644328259,0.024155754280689355,18797000,5.3557598226175054e-05
2014-11-07,342.4150085449219,2031.9200439453125,-0.01987907050661142,0.00034952512678080786,-0.02139982940506915,16834200,4.796506464111699e-05
2014-11-08,345.4880065917969,2031.9200439453125,0.008934452738033633,0.0,0.007699268495186632,8535470,2.4319799592039707e-05
2014-11-09,363.2640075683594,2031.9200439453125,0.050171934079645264,0.0,0.048936749836798264,24205600,6.896812255272133e-05
2014-11-10,366.9240112304688,2038.260009765625,0.01002490925623583,0.003115327019558855,0.006244390293338124,30450100,8.676034589279421e-05
2014-11-11,367.6950073242188,2039.6800537109373,0.002099037344141317,0.0006964516302872132,0.0002948269591665511,15838900,4.512919309169357e-05
2014-11-12,423.5610046386719,2038.25,0.14144374235950052,-0.0007013625789178698,0.14078159668122667,45783200,0.00013044838171562576
2014-11-13,420.7349853515625,2039.3299560546875,-0.006694405456441629,0.0005297044284002311,-0.00836237735352425,58945000,0.00016794981259998342
2014-11-14,397.8179931640625,2039.8199462890625,-0.05600854991385603,0.0002402413485468054,-0.05744002001748389,29589200,8.430741530211943e-05
2014-11-15,376.1329956054688,2039.8199462890625,-0.05605180451604572,0.0,-0.057286988758892717,15727500,4.4811785183921274e-05
2014-11-16,387.8819885253906,2039.8199462890625,0.030758347508881286,0.0,0.029523163266034283,11905600,3.39221865958158e-05
2014-11-17,387.4079895019531,2041.3199462890625,-0.00122276592224785,0.0007350887776586797,-0.003058544252440205,41518800,0.00011829798421199749
2014-11-18,375.197998046875,2051.800048828125,-0.032024492730085764,0.005120849353688389,-0.03744359589196104,32222500,9.181037978629173e-05
2014-11-19,380.5549926757813,2048.719970703125,0.014176812837003124,-0.0015022868756188182,0.014169051243522333,18931800,5.394167889015805e-05
2014-11-20,357.8399963378906,2052.75,-0.06154474536821272,0.001965164013202754,-0.06438553960384548,25233200,7.18960252998202e-05
2014-11-21,350.8479919433594,2063.5,-0.019732890613733702,0.0052232126037382535,-0.025235628248899702,29850100,8.505078804123785e-05
2014-11-22,352.9200134277344,2063.5,0.0058883821245041875,0.0,0.004653197881657186,15273000,4.3516795111367326e-05
2014-11-23,367.572998046875,2063.5,0.04068049266746527,0.0,0.03944530842461827,15151600,4.3170894572735755e-05
2014-11-24,376.9010009765625,2069.409912109375,0.02506062301536968,0.00285992981373923,0.02148877279616896,30930100,8.812799217403932e-05
2014-11-25,375.3479919433594,2067.030029296875,-0.004128981904106339,-0.0011506914684172845,-0.00442400964709305,25442200,7.249152128477901e-05
2014-11-26,368.3699951171875,2072.830078,-0.018765719594816287,0.0028020524112995927,-0.022290281885330526,18601700,5.300113714549346e-05
2014-11-27,369.6700134277344,2072.830078,0.003522897512379116,0.0,0.0022877132695321143,8748030,2.492543895358441e-05
2014-11-28,376.4469909667969,2067.56005859375,0.018166490984887675,-0.00254566457670824,0.019011206666516726,22946500,6.538061540123029e-05
2014-11-29,375.4909973144531,2067.56005859375,-0.0025427473603651814,0.0,-0.003777931603212183,15375600,4.3809129503983465e-05
2014-11-30,378.0469970703125,2067.56005859375,0.006784023042740145,0.0,0.005548838799893143,9194440,2.6197378487773207e-05
2014-12-01,379.2449951171875,2053.43994140625,0.003163902586034823,-0.006852789344834434,0.007527694803473063,11763000,3.351588167976258e-05
2014-12-02,381.3150024414063,2066.550048828125,0.0054433902443987185,0.006364166758848178,-0.0009915481538828787,12364100,3.522857372071346e-05
2014-12-03,375.010009765625,2074.330078,-0.0166730932729212,0.003757673773766452,-0.020978432739583545,13340100,3.800945449257849e-05
2014-12-04,369.60400390625,2071.919922,-0.014520545533967717,-0.001162571611194858,-0.014805866771120186,14529600,4.1398652933288985e-05
2014-12-05,376.85400390625,2075.3701171875,0.01942568211280815,0.0016638315385905228,0.016831087394944776,15181800,4.325694231793076e-05
2014-12-06,374.7850036621094,2075.3701171875,-0.005505316911438858,0.0,-0.00674050115428586,7009320,1.997139673345179e-05
2014-12-07,375.0950012207031,2075.3701171875,0.0008267924847559234,0.0,-0.0004083917580910781,6491650,1.8496418711759818e-05
2014-12-08,361.9089965820313,2060.31005859375,-0.03578654091018663,-0.007283022149715385,-0.031071232948464395,18898700,5.3847368282013854e-05
2014-12-09,352.218994140625,2059.820068359375,-0.027139664971795784,-0.00023785182583414743,-0.02818051568024265,32915500,9.378491910483934e-05
2014-12-10,346.364990234375,2026.1400146484373,-0.016760020464782286,-0.016486121183048767,-0.004525448119404548,16427700,4.680683919668755e-05
