Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ZROZ,ZROZ,ZROZ,ZROZ,ZROZ,ZROZ
Date,,,,,,
03/11/2014,84.26688385,108.8399963,109.2799988,107.9400024,109.2799988,7200
04/11/2014,84.77011871,109.4899979,110.1600037,109.1100006,109.7900009,13100
05/11/2014,84.56111145,109.2200012,109.4100037,108.6500015,108.7699966,2500
06/11/2014,83.65526581,108.0500031,108.5299988,108.0100021,108.5199966,8400
07/11/2014,84.69268036,109.3899994,109.5899963,108.5699997,108.5699997,58700
10/11/2014,83.68619537,108.0899963,109.3000031,108.0899963,109.3000031,3800
11/11/2014,83.80235291,108.2399979,108.5,107.5100021,108.5,8300
12/11/2014,83.616539,108,109.5,108,109.3499985,9300
13/11/2014,84.10430908,108.6299973,108.75,107.9599991,108.4000015,4300
14/11/2014,84.8707962,109.6200027,109.6200027,108.5800018,108.9800034,6400
17/11/2014,84.63850403,109.3199997,110.1999969,108.75,110.1999969,12400
18/11/2014,84.77785492,109.5,109.6800003,108.9499969,109.4599991,4700
19/11/2014,83.87976837,108.3399963,109.4599991,108.3399963,108.8399963,5500
20/11/2014,84.5069046,109.1500015,109.8899994,108.8700027,109.6500015,8200
21/11/2014,85.55209351,110.5,110.5100021,109.2699966,109.9100037,6900
24/11/2014,85.44371796,110.3600006,110.8600006,109.6399994,110.0100021,10100
25/11/2014,86.67472839,111.9499969,112.3000031,110.5199966,110.5199966,38300
26/11/2014,87.32507324,112.7900009,113.1100006,112.4800034,112.8300018,15400
28/11/2014,87.99090576,113.6500015,114.0599976,113.3000031,113.4899979,7700
01/12/2014,87.33283997,112.8000031,114.5,112.75,114.0800018,21300
02/12/2014,86.04759979,111.1399994,111.8899994,111.0299988,111.0299988,16200
03/12/2014,86.69021606,111.9700012,112.1399994,111.1500015,111.4100037,12000
04/12/2014,87.73544312,113.3199997,113.3199997,111.0100021,111.0100021,78300
05/12/2014,87.2089386,112.6399994,114.0699997,112.25,114.0699997,14300
08/12/2014,88.78064728,114.6699982,115.1500015,112.0100021,112.0100021,10300
09/12/2014,89.3070755,115.3499985,116.4599991,114.9800034,116,9400
10/12/2014,90.31359863,116.6500015,116.8700027,115.5699997,115.5699997,15900
11/12/2014,90.89428711,117.4000015,117.4000015,115.7300034,116.4000015,8300
12/12/2014,92.89178467,119.9800034,119.9899979,118.1600037,118.5699997,87100
15/12/2014,92.82985687,119.9000015,120.6500015,118.4199982,119.0299988,41000
16/12/2014,94.30088806,121.8000031,122.3499985,120.3499985,121.7600021,25200
17/12/2014,93.37178802,120.5999985,121.6399994,119.2200012,121.0199966,60900
18/12/2014,91.23493195,117.8399963,118.4899979,117.2900009,118.4000015,21700
19/12/2014,92.79114532,119.8499985,119.8499985,117.4599991,117.6200027,17900
22/12/2014,93.0621109,120.1999969,120.3700027,119.1800003,119.2799988,7200
23/12/2014,90.13553619,116.4199982,119.4000015,116.2300034,119.4000015,18100
24/12/2014,90.92523193,117.4400024,117.4400024,116.0599976,116.0599976,1900
26/12/2014,91.57558441,118.2799988,118.5400009,117.9800034,118.1999969,16700
29/12/2014,92.69789886,118.9400024,119.3600006,118.2399979,118.3000031,22600
30/12/2014,93.06419373,119.4100037,120.1500015,119.1699982,119.9899979,33500
