Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ZROZ,ZROZ,ZROZ,ZROZ,ZROZ,ZROZ
Date,,,,,,
2009-11-04,47.910518646240234,73.86000061035156,73.86000061035156,73.86000061035156,73.86000061035156,4000
2009-11-05,47.30723571777344,72.93000030517578,72.93000030517578,72.93000030517578,72.93000030517578,4000
2009-11-06,47.30723571777344,72.93000030517578,72.93000030517578,72.93000030517578,72.93000030517578,0
2009-11-09,47.30723571777344,72.93000030517578,72.93000030517578,72.93000030517578,72.93000030517578,0
2009-11-10,47.30723571777344,72.93000030517578,72.93000030517578,72.93000030517578,72.93000030517578,0
2009-11-11,47.30723571777344,72.93000030517578,72.93000030517578,72.93000030517578,72.93000030517578,0
2009-11-12,47.3591423034668,73.01000213623047,73.01000213623047,73.01000213623047,73.01000213623047,100
2009-11-13,47.3591423034668,73.01000213623047,73.01000213623047,73.01000213623047,73.01000213623047,0
2009-11-16,49.44786834716797,76.2300033569336,76.5999984741211,76.2300033569336,76.5999984741211,4300
2009-11-17,49.73326110839844,76.66999816894531,76.66999816894531,76.66999816894531,76.66999816894531,100
2009-11-18,49.058650970458984,75.62999725341797,76.0999984741211,75.58999633789062,76.0999984741211,9300
2009-11-19,49.09756088256836,75.69000244140625,76.33999633789062,75.69000244140625,76.33999633789062,1100
2009-11-20,48.92243194580078,75.41999816894531,75.9000015258789,75.41999816894531,75.9000015258789,1200
2009-11-23,48.92243194580078,75.41999816894531,75.41999816894531,75.41999816894531,75.41999816894531,0
2009-11-24,49.12999725341797,75.73999786376953,75.73999786376953,75.73999786376953,75.73999786376953,200
2009-11-25,49.681365966796875,76.58999633789062,76.58999633789062,75.22000122070312,75.22000122070312,4300
2009-11-27,49.80460739135742,76.77999877929688,76.77999877929688,76.77999877929688,76.77999877929688,1400
2009-11-30,49.674888610839844,76.58000183105469,76.58000183105469,76.51000213623047,76.51000213623047,4000
2009-12-01,49.674888610839844,76.58000183105469,76.58000183105469,76.58000183105469,76.58000183105469,0
2009-12-02,49.279205322265625,75.97000122070312,75.97000122070312,75.2300033569336,75.2300033569336,7400
2009-12-03,49.279205322265625,75.97000122070312,75.97000122070312,75.97000122070312,75.97000122070312,0
2009-12-04,47.145084381103516,72.68000030517578,72.7300033569336,72.31999969482422,72.43000030517578,23200
2009-12-07,47.19050598144531,72.75,72.91999816894531,72.56999969482422,72.56999969482422,39800
2009-12-08,47.19050598144531,72.75,72.75,72.75,72.75,0
2009-12-09,47.19050598144531,72.75,72.75,72.75,72.75,0
2009-12-10,47.19050598144531,72.75,72.75,72.75,72.75,0
2009-12-11,45.83477783203125,70.66000366210938,70.66000366210938,70.66000366210938,70.66000366210938,500
2009-12-14,46.26939010620117,71.33000183105469,71.33000183105469,71.33000183105469,71.33000183105469,1500
2009-12-15,46.26939010620117,71.33000183105469,71.33000183105469,71.33000183105469,71.33000183105469,0
2009-12-16,45.39369201660156,69.9800033569336,70.87999725341797,69.9800033569336,70.86000061035156,13300
2009-12-17,46.83373260498047,72.19999694824219,72.19999694824219,71.05999755859375,71.27999877929688,7300
2009-12-18,46.33425521850586,71.43000030517578,72.43000030517578,71.43000030517578,72.43000030517578,5900
